codmun,n_obs,pop_weight_sum,AAI_total,AAI_ci_lower,AAI_ci_upper,AAI_ci_width,health_score,functional_score,reliable,uf
430161,10,26193.53571757,0.17399591063981565,0.12921936973138196,0.25615390086580314,0.12693453113442119,0.29878749446992614,0.04920432680970519,False,Rio Grande do Sul
430164,14,35859.761552109994,0.1351368836391184,0.11903970430034413,0.1658385186014187,0.046798814301074576,0.259000874946826,0.011272892331410782,False,Rio Grande do Sul
430165,3,2157.66474256,,,,,0.2783921954053021,0.041135320224815614,False,Rio Grande do Sul
430166,6,16932.73784284,,,,,0.27580800337845573,0.023968183973368012,False,Rio Grande do Sul
430167,2,6215.552864589999,,,,,0.24600870123234914,0.0,False,Rio Grande do Sul
430169,22,57646.96729636,0.29247419306794714,0.1707704260234494,0.3964213485703081,0.22565092254685867,0.4046633521568,0.18028503397909426,False,Rio Grande do Sul
430170,3,12602.89244263,,,,,0.24934780587681785,0.0,False,Rio Grande do Sul
430171,3,6729.08628435,,,,,0.29862618374606176,0.05442394843015087,False,Rio Grande do Sul
430172,1,1753.83345596,,,,,0.2578308450791783,0.0,False,Rio Grande do Sul
430173,2,1014.3218260699999,,,,,0.3558004292810968,0.11250000000061619,False,Rio Grande do Sul
430174,1,947.49500042,,,,,0.2411361088053837,0.0,False,Rio Grande do Sul
430175,2,5278.27768721,,,,,0.33529387758294,0.21070210930013777,False,Rio Grande do Sul
430176,14,27466.4163666,0.15934165625547053,0.12068394072694733,0.23182951709939356,0.11114557637244624,0.27601160376583034,0.042671708745110816,False,Rio Grande do Sul
430178,5,5692.2128972499995,,,,,0.2686263358563324,0.03930291465522715,False,Rio Grande do Sul
430179,8,10840.72425245,,,,,0.2865464315718845,0.041789260870334945,False,Rio Grande do Sul
430181,7,16542.20026821,,,,,0.1347849514505879,0.019735677789151012,False,Rio Grande do Sul
430182,4,4180.9914622,,,,,0.2506759581046949,0.0,False,Rio Grande do Sul
430183,8,23118.27794708,,,,,0.3191068905492779,0.07593670863202139,False,Rio Grande do Sul
430184,4,2881.68243403,,,,,0.2485357999414983,0.0,False,Rio Grande do Sul
430185,9,13296.53124252,,,,,0.34243134184526935,0.08982741602761314,False,Rio Grande do Sul
430186,3,1809.25102739,,,,,0.2673906720621646,0.021521569208763285,False,Rio Grande do Sul
430187,5,14048.70478911,,,,,0.2710680984986267,0.020701548700022502,False,Rio Grande do Sul
430188,3,4273.67326061,,,,,0.4214133833466511,0.18571428571406845,False,Rio Grande do Sul
430189,4,9170.804996070001,,,,,0.155969533151221,0.01712045933915108,False,Rio Grande do Sul
430190,2,2333.37414706,,,,,0.23754127447252135,0.0,False,Rio Grande do Sul
430192,3,4886.81357869,,,,,0.269121889856663,0.02510456795323198,False,Rio Grande do Sul
430193,3,9687.382015469999,,,,,0.29659515286872495,0.0835653830298261,False,Rio Grande do Sul
430195,11,29886.63366938,0.37693213679728604,0.16606670219873387,0.5480839815511541,0.38201727935242025,0.4899573988169744,0.26390687477759756,False,Rio Grande do Sul
430199,3,11970.266139219999,,,,,0.24889106661439225,0.0,False,Rio Grande do Sul
430200,11,21109.46274794,0.153804734840726,0.12750027066634248,0.17699256957561332,0.04949229890927084,0.2772596786875755,0.03034979099387643,False,Rio Grande do Sul
430201,7,11320.40490793,,,,,0.2713212493990334,0.0462724400829567,False,Rio Grande do Sul
430202,5,11979.59356174,,,,,0.25300708961410306,0.012525425604940608,False,Rio Grande do Sul
430203,7,11404.24402479,,,,,0.33783932556452717,0.11323320981635861,False,Rio Grande do Sul
430207,3,7881.40560505,,,,,0.26623460366303436,0.021528459516635116,False,Rio Grande do Sul
430208,5,5340.63954524,,,,,0.2657501565826502,0.00837987286642256,False,Rio Grande do Sul
430215,4,4785.180484109999,,,,,0.3120140770310757,0.07500000000015675,False,Rio Grande do Sul
430219,9,3669.0323303499995,,,,,0.2567331370792356,0.02904667352776737,False,Rio Grande do Sul
500000,20,7625.24274966,0.1438962931815162,0.10581357311230247,0.18506975116636354,0.07925617805406107,0.2415863687170158,0.04620621764601658,False,Mato Grosso do Sul
500001,14,9239.842472609998,0.20349181676960007,0.1078453501465928,0.33958818973861005,0.23174283959201725,0.3157894015249846,0.09119423201421563,False,Mato Grosso do Sul
500002,22,12519.2385749,0.13368764725745017,0.10548355144979786,0.1654412432935559,0.05995769184375803,0.24281300265930675,0.02456229185559363,False,Mato Grosso do Sul
500003,13,5728.46540118,0.1480967738515787,0.12249611972487676,0.2040003635849105,0.08150424386003374,0.27224240381133297,0.023951143891824442,False,Mato Grosso do Sul
500004,21,12494.412271999998,0.25250405650844876,0.1509752314975538,0.34465445800009376,0.19367922650253996,0.3640835254252196,0.14092458759167795,False,Mato Grosso do Sul
500005,15,9342.13888447,0.1445155792609868,0.1282097495728752,0.17776404041061478,0.04955429083773957,0.27408839090073206,0.014942767621241552,False,Mato Grosso do Sul
500006,11,4734.04226868,0.1635408740804678,0.12808981675825482,0.20700227126422274,0.07891245450596793,0.2902244927768067,0.036857255384128956,False,Mato Grosso do Sul
500007,17,14676.859795080001,0.17009191167048918,0.13753775601677234,0.21215260040840317,0.07461484439163082,0.2885341431101557,0.05164968023082269,False,Mato Grosso do Sul
500008,37,20281.646131100002,0.15514900379494845,0.1383767619624368,0.17908716282913756,0.04071040086670075,0.2796591858499479,0.030638821739949036,True,Mato Grosso do Sul
500009,11,7180.8397534099995,0.1993937284247765,0.12984613453467997,0.2953629919535865,0.16551685741890654,0.30532293698823926,0.09346451986131371,False,Mato Grosso do Sul
500010,10,6774.47879639,0.24012575885647044,0.11768096225164532,0.34922741074083585,0.23154644848919054,0.36112428245152867,0.11912723526141217,False,Mato Grosso do Sul
500011,9,4470.13403216,,,,,0.24135062243419872,0.0,False,Mato Grosso do Sul
500012,26,19914.50364567,0.13617786149930297,0.12416538582217337,0.15203015270783488,0.0278647668856615,0.2495597319570112,0.02279599104159478,False,Mato Grosso do Sul
500013,7,12383.46105414,,,,,0.3660702327331206,0.12592961683330456,False,Mato Grosso do Sul
500014,12,6656.527183149999,0.15903210499916176,0.12393389333930212,0.20944209093483837,0.08550819759553625,0.2819248900709675,0.03613931992735603,False,Mato Grosso do Sul
500015,18,13206.464617409998,0.14760947809380223,0.12779255749655521,0.17315886673525577,0.04536630923870055,0.254751868819463,0.0404670873681415,False,Mato Grosso do Sul
500016,25,11310.13243874,0.1700605445351084,0.13978226083186612,0.2003713874299421,0.06058912659807597,0.2873755611208147,0.052745527949402106,False,Mato Grosso do Sul
500017,6,4044.1407591999996,,,,,0.330685573724621,0.0732425785047586,False,Mato Grosso do Sul
500018,17,9173.3694547,0.18804297779216128,0.14574946318804508,0.2563158553685699,0.1105663921805248,0.2973737977576743,0.07871215782664817,False,Mato Grosso do Sul
500019,20,12383.92362211,0.2363171670536393,0.14050648297958934,0.3514715742657884,0.21096509128619906,0.35166522629266217,0.12096910781461644,False,Mato Grosso do Sul
500020,7,3549.1762616299998,,,,,0.2634872126648218,0.04241823984936668,False,Mato Grosso do Sul
500021,24,14150.78500053,0.1936015854064487,0.13517109737583205,0.2637047268005784,0.12853362942474633,0.29983793526503233,0.08736523554786509,False,Mato Grosso do Sul
500022,13,5049.51209391,0.15347295468687686,0.13097704705054594,0.19383232281246765,0.06285527576192171,0.27619936254485383,0.030746546828899858,False,Mato Grosso do Sul
500023,17,5226.469247859999,0.16534540395424377,0.12472865852463282,0.23388611964338626,0.10915746111875345,0.28640570408389887,0.04428510382458869,False,Mato Grosso do Sul
500024,14,6970.80413008,0.18525223078443312,0.11951576366121945,0.2588645175993471,0.13934875393812762,0.30494803789013125,0.06555642367873496,False,Mato Grosso do Sul
500025,30,13363.04114549,0.2023074645886373,0.1444765584685457,0.2675471485479735,0.1230705900794278,0.3197506771544304,0.08486425202284419,True,Mato Grosso do Sul
500026,14,5785.2270968699995,0.13241247925465793,0.12238961816327378,0.15045131424935917,0.0280616960860854,0.2566856739627376,0.008139284546578286,False,Mato Grosso do Sul
500027,14,6859.203191929999,0.14946025556558,0.11445410052595681,0.1866906508759377,0.07223655034998089,0.261179020209434,0.03774149092172598,False,Mato Grosso do Sul
